estc_id,actor_id
T118298,24497251
T96101,228716377
T368,22941406
T50640,46674297
T99611,bbti_104180
T216943,20033278
N17667,bbti_80286
N414,132829424
N9480,bbti_55348
T149893,27299050
N30967,45722044
T130909,jacobigulielmiduncan_0
T186098,bbti_75857
T115865,bbti_111939
R228037,44350696
T162405,26938284
T176530,bbti_73894
T108500,263788498
T154461,georgeewing_0
T86326,johnhall_0
N504847,bbti_112322
T41904,228701119
T40381,46357770
T197007,76189044
T9612,26938284
T165258,263788498
T49547,bbti_11228
T122991,99480813
T22449,bbti_11071
T54593,21213427
N327,tsaunders_0
N39126,44350696
T54598,9741821
N68203,46815338
N505112,bbti_10233
N48959,bbti_69695
T26506,228716377
T183835,robertfleming_0
T129312,30689593
T98896,bbti_66610
N36395,bbti_108679
T117059,70357787
T138489,150016994
T76900,bbti_9201
T169277,bbti_35352
T92394,johnmosman_0
T117978,17087371
T51962,9741821
T169660,joshuakinneir_0
T174924,36814575
T164665,12361109
N46171,bbti_107957
T76836,bbti_116081
N45793,bbti_59028
W11860,134967802
T13286,bbti_49978
T187579,17097029
T82691,19553220
T36592,44191542
T4361,9741821
T30755,bbti_55222
T53564,15008766
T140581,330654
T79549,edward_1
T42361,bbti_75857
N10247,26938284
N53283,44350696
N473968,44350696
N64483,12361109
R43002,100328493
W13153,59137165
T184388,271231118
T115564,255661736
T180237,bbti_36018
N56011,andrewcrook_1
T145152,173741386
T113611,gulielmibowyer_0
T178075,bbti_107361
T69004,bbti_53584
T165578,robertgardner_0
T46863,bbti_17678
T212355,48823380
N65396,thomasbaily_0
T138312,100328493
T75794,bbti_111209
T58246,122574378
T126979,andrewcrook_1
T89694,51557323
N50410,29437883
T4301,jameshodges_1
W249,38347954
T179496,bbti_8281
T63526,bbti_76655
N9268,bbti_44618
T92171,bbti_116780
T91614,228716377
T208695,bbti_7900
T134884,34511788
T146297,37790832
N19350,21213427
N20294,robertfreebairn_0
T138697,63858034
T125562,71283786
T123003,51926513
T16458,bbti_73278
N48378,12203344
T161355,bbti_34291
W16126,59137165
T224463,bbti_72994
T181109,44350961
T39870,248202931
T38599,17097029
T191981,122574378
T201445,60507968
T19942,222770681
T131519,bbti_115820
N7866,26936995
T114317,63858034
T62402,34509981
T598,bbti_103763
N65065,bbti_45421
T56125,bbti_7688
W31395,43404380
T478388,johnloveday_0
T144134,bbti_60899
T69150,54025054
T46669,henryjones_0
W18636,18614498
T208093,bbti_51700
N490076,74154439
T55150,22941406
T30662,bbti_52448
T207854,72798292
N43203,bbti_124892
T185676,17097029
T148125,51926513
T136962,bbti_108069
T103635,bbti_45404
T53916,jamesmccoul_0
N23804,26653683
T173285,34509981
N10539,34509981
N34068,17097029
T175365,58966351
T138471,311426459
N64397,12361109
T201827,patrickcampbel_0
T104499,bbti_7900
T100626,rhett_1
T182555,NV_BH_X06778093X
T89045,12361047
T189922,ahinde_0
T143347,26025873
T164827,44350696
T18112,122574378
T81138,248202931
N14581,27299050
T39201,bbti_5367
T217144,sbutler_0
N11788,margtrhames_0
T108736,bbti_73973
T95282,bbti_114073
T94065,bbti_73174
N56676,222770681
N938,36768263
P219,51557323
T145558,bbti_132753
T109175,jandjrivington_0
T213287,36768263
T42063,34509981
T61951,bbti_51499
T136217,NV7198
T122464,bbti_114143
T200710,bbti_72801
T147725,19553220
T41220,255661736
N53480,44350696
T169520,54200197
T26934,122574378
T4308,51926513
N19368,bbti_109905
T103401,bbti_11535
T69396,bbti_3052
T186286,173741386
T77551,thomashume_1
T141022,78374987
T86677,45785847
N15690,bbti_23811
N13779,bbti_96684
T4442,51926513
T169869,jamesormiston_0
T95796,bbti_77907
T125360,bbti_106995
T219444,bbti_33430
N66529,48823380
T437,chicks_0
T222575,150016994
T119853,187519562
T65942,bbti_113683
T66459,bbti_114516
T181751,rrivington_0
T14329,edwardandjohnexshaw_0
T186346,bbti_46047
T163794,benjaminbarker_0
N52005,bbti_10232
T96865,duncanferguson_0
T46659,1565494
T74350,76204129
T144065,bbti_31123
N22245,17097029
T50354,bbti_53584
T38935,36972115
T57286,36768263
T231402,19553220
T65960,51557323
R23096,41714688
T51988,bbti_36940
T141016,21213427
R224076,18614498
T145471,30718937
N28154,bbti_116262
N41165,awebster_0
T116733,bbti_61088
T147473,bbti_51499
T194271,bbti_42551
N37481,51926513
W39613,16313306
N38950,56494757
T174479,46660218
W450,NV34537
T169017,22039166
T110888,46649720
W4399,johnparker_0
T115806,bbti_16685
T174399,robertbrown_0
T116236,bbti_105020
T183546,77124830
N5499,bbti_125522
T63551,bbti_42401
T14536,187519562
N7928,9733233
N50386,30718937
T39483,bbti_109740
N35613,bbti_114404
N20136,bbti_74241
W32306,39196133
T177980,34511788
T109726,guilinnys_0
W23730,65538602
T27355,richard_1
T26560,71442890
T154096,johnbrown_0
N13793,12361109
T134711,bbti_50050
T54594,173741386
N49840,NV15621
T16423,bbti_63846
N20340,20033278
T163730,bbti_24605
T66459,1565494
T70801,johnhyde_0
T134023,bbti_47943
N47363,bbti_15414
R222902,44350696
N63136,bbti_33725
N30554,bbti_83534
T92171,blaw_1
W27598,38347954
T67491,228716377
T28413,bbti_3052
T5048,calebratten_1
T118894,georgerisk_0
R176845,bbti_106885
T105637,bbti_5376
N4818,76551088
N12708,41714688
T115905,bbti_42551
T45201,bbti_72801
N70812,bbti_113828
T176794,36972115
T99107,bbti_113163
T71134,bbti_77601
N30140,269036155
T43041,robertowen_0
R478581,41714688
W11378,61982841
N13417,bbti_58959
T50195,9741821
T129381,williamsmith_6
T91056,NV_BH_X06778093X
N36198,bbti_9201
T75702,bbti_15982
T55080,bbti_107835
N99,60457433
T202472,9733233
T82609,bbti_116465
N504940,295382906
T206641,269036155
T48211,17097029
T47103,bbti_112548
T86710,bbti_66145
W14614,8938475
W1825,18614498
T166975,12361109
T21458,51540282
R173019,26078421
N11623,27299050
T49264,bbti_53584
T184911,NV8227
T91793,bbti_116466
T106241,bbti_46613
N9745,150016994
W18628,8938475
T113852,bbti_59028
T101185,bbti_106995
T176404,robertfleming_0
N9774,bbti_55493
N492246,jvarnam_0
T70941,41690231
T14323,46660218
T50665,20033278
T90365,122574378
N473215,bbti_4479
T135905,bbti_78047
T191024,51577264
T38903,228716377
N53701,12361109
N27492,248202931
T19953,thomasthornton_0
T164499,bbti_53584
T43626,bbti_15247
W11048,8938475
N36958,bbti_104038
T34354,4306147270694535700005
N9500,24497251
T145982,34509981
T166944,51926513
T5153,bbti_78573
N36140,bbti_55222
W24911,63012301
T143095,173741386
N4596,thomashume_0
N9378,bbti_77907
N13272,71442890
T182688,abrahambradley_0
N56162,29427704
T95112,1565494
T176182,NV23762
T1396,bbti_13923
T130511,bbti_24502
R216722,51926513
N30223,bbti_42551
T116070,bbti_113516
T199237,wking_0
W16358,59137165
T68119,9729889
T185427,34509981
T115922,bbti_42551
T75412,bbti_13169
T187562,30718937
N23025,dibusrflemingsociorum_0
T85178,bbti_45421
N491581,bbti_112454
T65263,bbti_105106
W26769,55606557
T57735,bbti_114716
T154300,65560351
T45068,jamesdonaldson_0
T188736,36814575
T134220,robertfoulis_0
T153074,bbti_106365
N20058,bbti_15982
W12507,43362968
T39933,39337317
T211749,bbti_7213
T165974,2368305
N28398,305051344
T86545,bbti_109210
N50590,30718937
W28094,39196133
T179738,295382906
T66479,bbti_54144
T163794,bbti_51499
T78143,pelmsly_6
T108777,bbti_114073
N962,alexandersymmer_1
N12381,121292554
N17950,bbti_7830
T59033,12168358
T30735,228716377
T182953,305130254
T102802,samnoble_0
T200751,bbti_112714
T57652,61419541
N3375,bbti_18490
N8555,bbti_76041
T47747,bbti_51700
T160286,abrahambradley_0
N67495,56662373
W12420,55606557
T138405,187519562
T142680,bbti_77536
T119374,georgerisk_0
N11354,bbti_51499
W27295,33552242
N53727,30718937
T116620,bbti_33430
N54775,255661736
T84610,johnandjamesrivington_0
T187433,andrewcrook_1
T64540,jameskelburn_0
T207081,bbti_72744
T58219,122574378
T10597,230344634
N50138,bbti_64335
T128185,bbti_105106
T44659,61423499
T113187,gavinhamilton_1
T93378,bbti_40501
T28574,122574378
W27548,kneelandandgreen_0
T207898,eliphaldobson_0
T116391,bbti_5367
T114437,bbti_50146
T199940,bbti_107117
N2325,stirlinganddumfermling_0
T199247,bbti_114125
N72293,bbti_105242
N498178,51540282
T196681,bbti_37007
T38756,49138123
N12472,bbti_75857
T164995,benjaminbarker_0
T86622,228716377
N25908,17097029
N31046,bbti_6260
N21362,263788498
T181354,bbti_15414
W5377,75274218
N19510,304984123
N24129,330654
N33585,63900891
T139262,27299050
N26729,bbti_65864
T84348,73741053
T181767,33425968
T22094,bbti_40501
T173161,bbti_108660
N25052,bbti_10233
W17917,18640906
T122944,66368711
T98143,12361047
T205537,georgebennett_1
T170959,bbti_40501
T102211,bbti_69734
T103334,bbti_15982
N777,26938284
T123800,17074833
T67251,henryhillsdeceasd_0
R17913,bbti_3474
T43639,304988763
N4937,bbti_40786
T180097,bbti_104724
N7465,bbti_135336
N12545,17097029
N12115,bbti_15982
N44249,johnbarry_0
T224332,54199802
T128553,bbti_15441
T58253,21954540
T175820,49178848
T160317,johnvallange_0
N70481,bbti_116262
T77294,bbti_72801
N38396,bbti_6378
T96590,bbti_45421
T187780,tfox_1
T232114,christopherdickson_0
T116296,llathrop_0
T67145,jandjknapton_0
T43687,17097029
N15087,williammalin_0
N23148,36768263
N28657,bbti_44038
N22639,9733233
T232094,richarddickson_0
T228629,bbti_10232
N68045,305051344
T147616,jnewbery_0
T136797,johnpaton_1
N67702,bbti_106365
N46967,wandjmountandtpage_0
T114660,24488557
T107830,9741821
N10982,17097029
T48975,173741386
T173067,44195902
N16946,bbti_64335
T161142,bbti_58940
T50836,jbsprint_0
T33608,bbti_110934
T1425,150016994
N33018,bbti_73289
N1645,26938284
T300390,johnrivington_0
T143290,bbti_50616
T7277,9733233
N12089,31591451
T68711,bbti_56968
T138407,bbti_53584
T160566,bbti_53370
W18181,69363534
T93184,bbti_37007
T45166,bbti_41991
T169045,johnwalker_0
R27912,26938284
T86658,150016994
N12826,bbti_116779
N2772,bbti_41788
T37258,64406807
T578,bbti_15982
T17034,122574378
T169664,311426459
T186053,187519562
T228831,bbti_107724
T138021,30718937
T213689,51577264
N18673,bbti_60703
N476149,bbti_15982
T14049,150016994
T170706,redlyonsquare_0
N66222,georgegolding_0
T35478,NV26254
N5145,jajohnston_0
T76091,56662373
T185685,mrjamesmewen_0
T136504,bbti_104038
T45197,gandaewing_0
T53295,59137424
N37703,228716377
N7702,7257114
W37780,77838521
W30551,66520614
T100209,bbti_109575
W20943,43386187
T68602,bbti_113163
T186188,58966351
T10700,bbti_46514
N53221,30718937
T146573,bbti_77907
T18767,49138123
T39476,40811864
T196859,jamescorbett_0
N11704,228716377
T186812,bbti_71164
N4338,228716377
T2344,bbti_15935
T76455,benjaminbarker_0
T119519,williamsmith_6
N52111,bbti_108679
T143452,27299050
T105220,bbti_13923
T182685,228716377
W19719,43362968
T174149,17097029
T148763,andrewcrook_1
T134598,bbti_106995
T144319,bbti_106365
W13215,11303120
T62754,bbti_125482
N69315,13738529
T181672,218481116
N3693,187519562
N52092,bbti_4474
T71120,bbti_30590
N51332,30718937
T125576,41726148
T223378,311335919
N9400,bbti_56800
T204398,bbti_52476
T100994,36768263
T112911,bbti_72801
T212033,76204129
T199702,44148715
T201817,bbti_73763
T113898,bbti_107794
N62283,56662373
T197613,mrrobertfreebairn_0
T14330,bbti_109575
T30855,paddydroghedy_0
T80699,bbti_116081
N469443,bbti_116081
N21428,36972115
T115645,228716377
T33291,36768263
N56048,bbti_104724
T146652,305051344
N9094,87555762
T5365,bbti_17297
N51849,30718937
T180739,bbti_109907
T60290,317106727
T22846,bbti_48741
T59235,bbti_54144
N23196,228716377
N3651,bbti_111939
T131828,61536758
T202050,72798292
T55682,bbti_53370
T142371,17097029
N51608,30718937
T153990,bbti_107026
T94470,19565519
R28349,ptempest_0
N145,36972115
T42148,bbti_77907
T191247,bbti_77907
T174701,johnpeters_0
T162722,15008766
T109218,222770681
T30689,bbti_42551
N25971,bbti_55222
T161620,jamesnicol_0
T168747,bbti_105768
T86354,bbti_72801
T22059,wmallard_0
T187332,andrewcrook_1
T110101,46674297
T9657,68786630
T81409,30718937
N474181,bbti_71500
T176746,108497721
T170695,NV15017
N6692,76551088
N3924,NV37384
T61391,messwandjinnys_0
T172310,bbti_17678
T137843,bbti_73149
T91511,companyofparishclerks_0
T19549,30718937
N28156,66368711
T181710,187519562
T177458,assigneeofedwardsayeresq_0
T59429,44148715
N5958,228716377
T51686,bbti_15982
N25904,31868616
T47886,bbti_43739
T125496,99480813
W12523,39196133
N50635,4815474
N46105,51557323
T169132,bbti_113516
T124954,51926513
N18241,robertfleming_0
N17588,bbti_4474
W26501,11303120
T19680,henryhillsdeceasd_0
T171132,36768263
T12924,34509981
T112665,bbti_105106
N2655,bbti_72801
T179626,martinbryson_0
N64929,bbti_51499
T103458,bbti_7900
N6911,bbti_36505
T141148,47589
T105807,bbti_108120
N15202,NV10506
N8694,20033278
T133308,bbti_116262
T135953,121294681
N35721,72798292
T1099,228716377
T71297,bbti_78110
N3841,173741386
N30382,jamesknapton_0
T95287,31868616
N2539,54200197
T12911,1565494
N48250,bbti_29546
T76936,thomasnewcomb_4
T112736,118253065
N50682,30718937
N1040,218481116
T147705,73995150
T76053,36768263
T113994,bbti_23811
